,Unnamed: 0.1,mood,id,title,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1946,1946,calm,1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,Foreigner,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204,304787,4
1947,1947,calm,4JiEyzf0Md7KEFFGWDDdCr,Knockin' On Heaven's Door,Guns N' Roses,0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,336000,4
1948,1948,calm,01Q3OyB05mLgH01fpdAMPP,Wait,M83,0.426,0.228,2,-10.552,1,0.0322,0.198,0.13,0.0832,0.0822,147.994,343253,4
1949,1949,calm,2jzMr4GqNXRNVgdHTyC9Gr,Halt dich an mir fest (feat. Marta Jandová) - Duett Version,Marta Jandová,0.454,0.807,10,-3.915,1,0.0365,0.153,0.0,0.157,0.387,165.932,211053,4
1950,1950,calm,6Tvzf3VEi16JMhAgOwdt2y,Birds,Imagine Dragons,0.649,0.517,1,-7.428,0,0.0297,0.0146,1.63e-06,0.145,0.35,119.997,219440,4
1951,1951,calm,1it1O0oDJTlrd4Ql003yWb,Undertow,Panama,0.693,0.529,2,-10.429,1,0.0518,0.887,8.88e-05,0.0855,0.109,122.02,286709,4
1952,1952,calm,0e1oQW71fzAznMWTCkPZKk,Trace,Sam Phay,0.675,0.587,1,-8.875,1,0.0315,0.257,0.00131,0.228,0.23,111.999,230859,4
1953,1953,calm,7JjK7SXGUoZItE05vxYZc0,The Sea,LO,0.732,0.564,9,-9.985,0,0.105,0.788,0.609,0.0911,0.239,119.994,251000,4
1954,1954,calm,39KG4kom3enSx4GTThuDGt,Coaster,Khalid,0.441,0.219,8,-14.586,1,0.0419,0.935,0.0,0.115,0.244,94.021,199120,4
1955,1955,calm,1QzmdyU1N47jAj0ao5IvlW,Ist da jemand,Adel Tawil,0.647,0.76,1,-3.831,1,0.0363,0.472,0.0,0.0933,0.493,145.917,223827,4
